id,regionCode,riskLevel,diabetes,gender,smoker,age,systolic,cholesterol,cholesterolUnit,bmi,bmiUnit,hs,hsValue,riskLevelId
1,sa,null,0,M,0,70,180,3.9,mmol_L,.,kg/m^2,4,22,4
2,sa,null,0,M,0,70,180,4,mmol_L,.,kg/m^2,4,24,4
3,sa,null,0,M,0,70,180,5,mmol_L,.,kg/m^2,4,27,4
4,sa,null,0,M,0,70,180,6,mmol_L,.,kg/m^2,5,30,5
5,sa,null,0,M,0,70,180,7,mmol_L,.,kg/m^2,5,33,5
6,sa,null,0,M,0,70,160,3.9,mmol_L,.,kg/m^2,3,18,3
7,sa,null,0,M,0,70,160,4,mmol_L,.,kg/m^2,4,20,4
8,sa,null,0,M,0,70,160,5,mmol_L,.,kg/m^2,4,23,4
9,sa,null,0,M,0,70,160,6,mmol_L,.,kg/m^2,4,25,4
10,sa,null,0,M,0,70,160,7,mmol_L,.,kg/m^2,4,28,4
11,sa,null,0,M,0,70,140,3.9,mmol_L,.,kg/m^2,3,15,3
12,sa,null,0,M,0,70,140,4,mmol_L,.,kg/m^2,3,17,3
13,sa,null,0,M,0,70,140,5,mmol_L,.,kg/m^2,3,19,3
14,sa,null,0,M,0,70,140,6,mmol_L,.,kg/m^2,4,21,4
15,sa,null,0,M,0,70,140,7,mmol_L,.,kg/m^2,4,23,4
16,sa,null,0,M,0,70,120,3.9,mmol_L,.,kg/m^2,3,13,3
17,sa,null,0,M,0,70,120,4,mmol_L,.,kg/m^2,3,14,3
18,sa,null,0,M,0,70,120,5,mmol_L,.,kg/m^2,3,16,3
19,sa,null,0,M,0,70,120,6,mmol_L,.,kg/m^2,3,17,3
20,sa,null,0,M,0,70,120,7,mmol_L,.,kg/m^2,3,19,3
21,sa,null,0,M,0,70,119,3.9,mmol_L,.,kg/m^2,2,10,2
22,sa,null,0,M,0,70,119,4,mmol_L,.,kg/m^2,3,12,3
23,sa,null,0,M,0,70,119,5,mmol_L,.,kg/m^2,3,13,3
24,sa,null,0,M,0,70,119,6,mmol_L,.,kg/m^2,3,14,3
25,sa,null,0,M,0,70,119,7,mmol_L,.,kg/m^2,3,16,3
26,sa,null,0,M,1,70,180,3.9,mmol_L,.,kg/m^2,4,28,4
27,sa,null,0,M,1,70,180,4,mmol_L,.,kg/m^2,5,31,5
28,sa,null,0,M,1,70,180,5,mmol_L,.,kg/m^2,5,34,5
29,sa,null,0,M,1,70,180,6,mmol_L,.,kg/m^2,5,37,5
30,sa,null,0,M,1,70,180,7,mmol_L,.,kg/m^2,5,41,5
31,sa,null,0,M,1,70,160,3.9,mmol_L,.,kg/m^2,4,23,4
32,sa,null,0,M,1,70,160,4,mmol_L,.,kg/m^2,4,26,4
33,sa,null,0,M,1,70,160,5,mmol_L,.,kg/m^2,4,28,4
34,sa,null,0,M,1,70,160,6,mmol_L,.,kg/m^2,5,31,5
35,sa,null,0,M,1,70,160,7,mmol_L,.,kg/m^2,5,35,5
36,sa,null,0,M,1,70,140,3.9,mmol_L,.,kg/m^2,3,19,3
37,sa,null,0,M,1,70,140,4,mmol_L,.,kg/m^2,4,21,4
38,sa,null,0,M,1,70,140,5,mmol_L,.,kg/m^2,4,24,4
39,sa,null,0,M,1,70,140,6,mmol_L,.,kg/m^2,4,27,4
40,sa,null,0,M,1,70,140,7,mmol_L,.,kg/m^2,4,29,4
